,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
353791,353792,B005A1LINC,A141W8WHW9AC3H,"Nelly ""Vision Teacher""",0,0,4,1321315200,"Good, but I like Appletini flavor better","I would personally probably give this 3 stars, but my mother and another person (both of whom LOVE Mojitos) really liked it a lot, so I thought 4 was a fairer rating.  I enjoy a real Mojito now and then, but this didn't quite cut it for me.<br /><br />I found this to basically taste like regular Crystal Light lemonade with a little fake mint flavoring added.  However, there was also a somewhat odd third taste that I could not identify...and that's the taste I didn't care for.<br /><br />That being said, with alcohol mixed in, I am certain this would probably suffice nicely, especially AFTER the first drink goes down!  ;-)<br /><br />All in all...I wouldn't buy this product again, and I almost didn't want to finish the first pitcher I made (gave the rest away).  But my Mojito-crazy loved ones liked it, so you might too!  I just didn't care for that aftertaste."
400035,400036,B002IEVJRY,A30J70Y1ORW6TA,dephal,0,0,3,1332547200,Good but not great,"This drink is tasty. Not too sweet. But it doesn't have as strong a coffee flavor as I would like, and there are definite chocolate notes that may or not be a plus, depending on your preferences. I do like it better than some of the high fat, sugary Starbucks options, and I think it's a good choice if you want a quick jolt and don't have access to real coffee."
91754,91755,B003OPCMZO,A28X234QNUSQPW,"musicfan ""NK""",0,4,5,1317254400,Used this for saffron bread.,"[...]<br /><br />This goes a very long ways.  I bought 8 grams and will be using it for several years.  I made saffron bread with it which I didn't love.  The saffron taste was good, just my bread recipe was maybe the wrong one.  Next time I will use a different recipe.  I haven't used it for tea."
405951,405952,B0000ICLKY,A2OKSD3SLPEM1V,CougGirl,3,3,5,1134000000,so yummy!,"these taste like the inside of a peanut butter cup!  sweeter than peanut butter, they're also pretty crumbly.  still, though, one of these wonderfully satisfies that sweet tooth!"
91029,91030,B004PCWXHM,A1IOGEZUZPII8C,travels10,0,0,5,1340064000,EXCELLENT cheese,"Tavern Cheddar from Deli Direct is another one of my favorites of this line.  It's not too spicy and adds a great amount of variety to many meals such as roll up sandwiches and tacos and a topping for baked potatoes.  Its great on crackers and melts perfect on mini pizzas and spanish rice or cheesy based rice recipes.  Nutrition content is for 2 TBSP  100 calories, total fat 8 grams, saturated fat 4.5 grams, cholesterol 25 mg, sodium 220 , total carbs 3 grams, sugars 3 grams, protein 4 grams,<br />Ingredients are cheddar cheese, milk, salt enzymes, water, whey, cream, BEER, salt, sorbic acid, cajun pepper, garlic, lactic acid, color and guar gum.  I rate this and many of their other spreadable cheeses 5 stars.  AWESOME product"
61221,61222,B002OI9U9I,A1F6PDXFPGUSYO,D. Ury,0,0,5,1325635200,I'm totally addicted!!!,"I chose this particular truffle salt VS others because of the reviews and I am so glad I did. I have this salt on everything. Breakfast never tasted as good, steaks, pork chops, vegetables. I will never go without truffle salt again!! Worth every penny!!!"
79635,79636,B004TJD758,A2TRMJA5NJS5TW,cserhus,16,16,5,1319673600,Great product,"At first I didn't care for this because I tried to just add the scoop to a little water and gulp it down. This does not work as it is too gritty. However, now I mix it into a morning smoothie and I love it. It gives me noticeable energy and I just feel better on the days I have it. FYI, here is my smoothie recipe that I think tastes great:<br /><br />4 oz water<br />1 scoop Amazing Grass<br />1/2 cup frozen organic berries<br />1 Tbs flaxseeds<br />1 Tbs organic coconut oil<br />2 cups fresh organic spinach<br />4 oz organic juice (POM, acai, etc)<br /><br />I listed the ingredients in exactly the order I put them into my blender to get it to blend properly."
47929,47930,B004SRH2B6,A3D31W9T3EAYO6,Eso,0,0,1,1337644800,Pineapple?,"Didn't taste anything like Pineapple to me, you could taste the plastic from the bottle! I'd stick to other coconut water brands like Vita Coco and One Natural Experience for a product that tastes like what the fresh ones on vacation taste like."
38021,38022,B0012AOIY6,A1ZSJNSRZCNCS1,"CJ ""C""",8,8,5,1245888000,It's Like a Good Chili!,"I bought these not sure what to expect.  When I tried them, they taste just like a good chili without the vegetables.  This makes these beans great side dish to a vegetable or whatever.  These are a nice option in addition to the regular Eden beans, which are the very best beans.  Not to mention they are BPA free.  These are very good, as are all Eden products."
145309,145310,B002OSFQ2I,AQ6KTNGTFIYYP,Richard Frehs,1,1,5,1304640000,"Outstanding product, but over priced and expensive to ship!","Blenheims makes a great product. I always wanted to try this version even at the $2.50 per bottle price, but then shipping was also another $2.50 per bottle! Glad I tried it, but I cannot afford more than a one shot 6-pack."
63994,63995,B000MLT5RG,A3EZL2BG76QU2S,Stan L. Riggin,5,5,5,1202256000,SUNKIST GOURMET FRUIT GEMS 144 CT 3.15 LBS,"This was a Christmas gift for our son, who loves Fruit Gems.  It arrived in good shape and the candy was very fresh.  It was a real hit on Christmas morning."
390831,390832,B004MUI15U,A30IR3H1HIVHJN,Julie Poteet,0,0,5,1297641600,Fantastic product!  My daughter LOVES these!!!,"I purchased these for my daughter as her after pre-school snack.  She absolutely loved them!  She ate all of it in a matter of minutes, and was asking for more."
60344,60345,B001EO62IU,AWLK6NSSV0YNA,Midwest Mommy,1,1,5,1219363200,Great Pedialyte or Gatorade Substitute!,"A nutritionist recommended coconut water to me when I was looking for a natural substitute to Pedialyte when our baby has a stomach bug.  I was told that the components in coconut water are the most similar to the water in the human body that needs to be replaced due to dehydration.  No artificial colors or flavors, and no high fructose corn syrup like Gatorade or Pedialyte! We purchased some coconut water at our local health food store for an arm and a leg for that illness episode- now I buy Vita Coco or Zico in bulk on Amazon to have on hand for our whole family- a much better deal!"
9164,9165,B006N3IG4K,A1DPAA6Y169RAW,Chelscutie,0,0,5,1324598400,Delicious!!,"I just recently got a Keurig coffee maker & registered it online.  Keurig sent me a coupon for buy 2 boxes, get 2 free.  Awhile back, a local bagel shop had a coconut coffee that I fell in love with.  So, I decided to try this coffee out because it has coconut in it.  I brewed my first cup this morning & it smelled VERY strong of coconut so of COURSE I couldn't wait to try it.  After it cooled down a bit I took my first sip.  AMAZING!!  It is quite delightful & I STRONGLY recommend it if you like coconut coffee.  No bitter aftertaste, either & no soot @ the bottom of my cup.  Awesome"
219495,219496,B000LRFVXI,ATTICSW57G3RJ,"Caroline Saddy ""well I never...""",2,2,5,1327449600,Best little cookies around.,I have enjoyed these wonders for a while and the ingredients are the best. Try one or two with coffee or tea. You will be very pleased.
42374,42375,B000F0FX52,A2SNDYGHDCJXLE,Bayou Child,2,2,3,1339545600,Just OK for me...,"The Sprout Master is made nicely and looks like it will last a long time.  I disagree with those that say it is flimsy.  It seems sturdy to me.  In terms of quality, it seems fine.  But in terms of growing sprouts from small seeds, there are 2 main problems, it seems:<br /><br />(1) It has pin-size holes for drainage, and small seeds get stuck in these and grow their roots through them. I am mostly making broccoli sprouts and alfalfa sprouts (small seeds). Probably the Sprout Master would work fine with sunflower seeds, nuts, beans, wheat, or other seeds that are at least as large as a mung bean. What happens with the small seeds, such as the broccoli sprouts, is that they grow their roots through the holes, and their roots make a thick mat underneath. So then it is very hard to remove the entire sprout. The roots break off, so then we have only the tops of the sprouts. I'm able to scrape the roots off of the backside and put them in the salads too, but it's just not as nice as the whole sprout unbroken. I don't have this problem with my other sprouting system, the Tompson & Morgan Seed Sprouter - Two-tiered (also available at Amazon). It works so much better because it has slots instead of pinholes.<br /><br />The broccoli sprouts don't make a mat of roots underneath the tray with the Tompson and Morgan Sprouter. They just make sprouts like you would see in the grocery store. I've also noticed that my sprouts grow much faster in the Tompson and Morgan Sprouter. I've done many comparisons, and it always is like this. I am not sure why. So, all things said, I wish that I hadn't bought the Sprout Master Triple Sprouter. I would have bought several more Tompson and Morgan Sprouters instead. They look very attractive and are a lot easier for me to deal with than the Sprout Master. I'm sure the Sprout Master is great for people that are using the larger seeds. Maybe I will start doing some larger seeds/nuts/beans too, but my main interest is with broccoli sprouts, alfalfa sprouts, radishes sprouts, etc., all of which have tiny seeds.<br /><br />(2) Clean-up:  The other thing about the Sprout Master, as others have noted, is that it's a bit difficult to clean small seeds out of the holes. You have to use the tip of a paperclip to poke stuff out sometimes.<br /><br />Once again the Tompson & Morgan is so much easier -- with their slots instead of pin-size holes, the seeds and other stuff fall right out during a quick wash and rinse. No paperclips and poking needed!<br /><br />And the Tompson & Morgan has gone through my dishwasher many times without harm. Sprout Master says don't put theirs in dishwasher, so I have not.<br /><br />***By the way, if anyone has some ideas for how I can make the Sprout Master work better with my little seeds, I would love to read your comments. Thanks! ***"
71751,71752,B001CX3QOG,A1II8MGR6GKTB3,Knighty,0,0,1,1339459200,14 cans arrived damaged,"14 out of 24 cans arrived dented, due to inadequate packaging (boxes were shrink wrapped to a cardboard tray and then thrown in a shipping box with a small amount of butcher paper).  Dense material like canned goods should be surrounded with packing peanuts in order to arrive undamaged.  Needless to say, I will not order canned goods again through Amazon.<br /><br />This is not the end of the story.  Amazon's standard policy on damaged food is 10%, or 20% maximum discount.  In this case, 58.3% of the food  arrived damaged--and no way was I going to pay for what I won't use.  After 1/2 hour on the phone, the customer service manager granted me an ""exception"" and allowed a refund of 58.3% of my purchase price.  But I should not have had to waste so much of my time insisting on it.<br /><br />That said, Harmony Farms dog food itself is a great product.  The reason I'm willing to pay almost $2 per can is that it's made in the USA (no danger of melamine, etc.).  So there you have it.  Good product, but you'll probably be happier if you find a place to buy it locally."
291909,291910,B001EO5Y8Y,A2J8JNUL2X64VT,Roy V. Maskell,0,0,5,1311292800,Bold and Manly!!!,Great tasting coffee! I like my brew strong and full of flavor and this definetly fits the bill! A consistently good cup of coffee every time.
260750,260751,B002AK88SY,A2UTLOF5A2OTLT,Gary,3,6,1,1294012800,Nasty tasting splenda,"Get that diet taste in a non diet soda........  enough said.<br />If you use the Soda Stream, buy the bag in a box brand name soda syrup."
334471,334472,B000F7KMHE,A2BT9DFGHUIH6T,Bippy the Beardless,1,1,5,1228867200,This really is noticably better than other top-shelf chocolate.,"It really is smoother and more nuanced than any luxury chocolate available in places like Whole-Foods and Cost-Plus (High end retailers).<br />If you have tried many different good quality chocolates then you should also try this one. At 70% cocoa mass it is unlikely to be too bitter for most, as it's excellent cocoa bean makes this less bitter than many regular semi-sweet chocolate bars."
290458,290459,B004777F3M,A2LP9A8HM75PLX,sad1969,0,0,5,1337212800,Good Tea,This is a good Strong Tea. The Flavor is a nice blend not to strong and not weak. Smells great when brewing. You can add milk or drink it plain.
